"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!White alone"," !!Total:!!Black or African American alone"," !!Total:!!American Indian and Alaska Native alone"," !!Total:!!Asian alone"," !!Total:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Some Other Race alone"," !!Total:!!Two or More Races",
"1000000US060750103002000","Block 2000, Block Group 2, Census Tract 103, San Francisco County, California","197","95","0","0","71","1","11","19",
"1000000US060750103002001","Block 2001, Block Group 2, Census Tract 103, San Francisco County, California","113","53","1","0","35","0","2","22",
"1000000US060750103002002","Block 2002, Block Group 2, Census Tract 103, San Francisco County, California","153","56","4","0","75","0","2","16",
"1000000US060750103002003","Block 2003, Block Group 2, Census Tract 103, San Francisco County, California","170","127","3","0","30","0","0","10",
"1000000US060750103002004","Block 2004, Block Group 2, Census Tract 103, San Francisco County, California","163","85","2","0","68","1","0","7",
"1000000US060750103002005","Block 2005, Block Group 2, Census Tract 103, San Francisco County, California","295","144","2","0","115","0","21","13",
"1000000US060750103003000","Block 3000, Block Group 3, Census Tract 103, San Francisco County, California","288","179","1","0","86","0","6","16",
"1000000US060750103003001","Block 3001, Block Group 3, Census Tract 103, San Francisco County, California","126","102","3","0","14","0","2","5",
"1000000US060750103003002","Block 3002, Block Group 3, Census Tract 103, San Francisco County, California","239","165","0","0","47","0","3","24",
"1000000US060750103003003","Block 3003, Block Group 3, Census Tract 103, San Francisco County, California","54","42","3","0","3","0","1","5",
"1000000US060750103003004","Block 3004, Block Group 3, Census Tract 103, San Francisco County, California","61","38","3","0","10","0","1","9",
"1000000US060750103003005","Block 3005, Block Group 3, Census Tract 103, San Francisco County, California","175","139","0","0","23","0","1","12",
"1000000US060750103003006","Block 3006, Block Group 3, Census Tract 103, San Francisco County, California","132","95","0","0","23","0","3","11",
"1000000US060750103003007","Block 3007, Block Group 3, Census Tract 103, San Francisco County, California","211","161","0","0","20","0","0","30",
"1000000US060750104011000","Block 1000, Block Group 1, Census Tract 104.01, San Francisco County, California","281","130","0","0","134","0","6","11",
"1000000US060750104011001","Block 1001, Block Group 1, Census Tract 104.01, San Francisco County, California","185","91","0","0","62","1","7","24",
"1000000US060750104011002","Block 1002, Block Group 1, Census Tract 104.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750104011003","Block 1003, Block Group 1, Census Tract 104.01, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750104011004","Block 1004, Block Group 1, Census Tract 104.01, San Francisco County, California","52","15","0","0","32","0","3","2",
"1000000US060750104011005","Block 1005, Block Group 1, Census Tract 104.01, San Francisco County, California","93","34","3","1","39","3","3","10",
"1000000US060750104012000","Block 2000, Block Group 2, Census Tract 104.01, San Francisco County, California","262","183","0","0","52","2","6","19",
"1000000US060750104012001","Block 2001, Block Group 2, Census Tract 104.01, San Francisco County, California","286","193","0","0","57","0","5","31",
"1000000US060750104012002","Block 2002, Block Group 2, Census Tract 104.01, San Francisco County, California","295","184","1","2","87","1","6","14",
"1000000US060750104012003","Block 2003, Block Group 2, Census Tract 104.01, San Francisco County, California","236","151","4","0","54","0","6","21",
"1000000US060750104012004","Block 2004, Block Group 2, Census Tract 104.01, San Francisco County, California","204","119","0","0","53","0","5","27",
"1000000US060750104012005","Block 2005, Block Group 2, Census Tract 104.01, San Francisco County, California","135","84","1","0","34","0","0","16",
"1000000US060750104012006","Block 2006, Block Group 2, Census Tract 104.01, San Francisco County, California","185","117","5","1","46","0","8","8",
"1000000US060750104021000","Block 1000, Block Group 1, Census Tract 104.02, San Francisco County, California","313","167","5","2","115","0","2","22",
"1000000US060750104021001","Block 1001, Block Group 1, Census Tract 104.02, San Francisco County, California","82","55","0","0","5","1","3","18",
"1000000US060750104021002","Block 1002, Block Group 1, Census Tract 104.02, San Francisco County, California","151","120","0","0","12","0","0","19",
"1000000US060750104021003","Block 1003, Block Group 1, Census Tract 104.02, San Francisco County, California","11","5","0","1","0","0","2","3",
"1000000US060750104021004","Block 1004, Block Group 1, Census Tract 104.02, San Francisco County, California","110","84","4","0","15","0","0","7",
"1000000US060750104021005","Block 1005, Block Group 1, Census Tract 104.02, San Francisco County, California","113","69","0","0","25","0","3","16",
"1000000US060750104022000","Block 2000, Block Group 2, Census Tract 104.02, San Francisco County, California","236","199","2","1","13","0","6","15",
"1000000US060750104022001","Block 2001, Block Group 2, Census Tract 104.02, San Francisco County, California","74","51","0","0","6","0","3","14",
"1000000US060750104022002","Block 2002, Block Group 2, Census Tract 104.02, San Francisco County, California","181","106","1","0","61","0","3","10",
"1000000US060750104022003","Block 2003, Block Group 2, Census Tract 104.02, San Francisco County, California","208","151","0","0","32","0","11","14",
"1000000US060750104023000","Block 3000, Block Group 3, Census Tract 104.02, San Francisco County, California","82","67","1","0","5","0","0","9",
"1000000US060750104023001","Block 3001, Block Group 3, Census Tract 104.02, San Francisco County, California","134","81","0","0","18","0","8","27",
"1000000US060750104023002","Block 3002, Block Group 3, Census Tract 104.02, San Francisco County, California","176","100","0","0","51","0","1","24",
"1000000US060750104023003","Block 3003, Block Group 3, Census Tract 104.02, San Francisco County, California","282","179","0","0","72","0","7","24",
"1000000US060750104023004","Block 3004, Block Group 3, Census Tract 104.02, San Francisco County, California","140","89","3","0","33","0","1","14",
"1000000US060750105001000","Block 1000, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105001001","Block 1001, Block Group 1, Census Tract 105, San Francisco County, California","20","2","6","0","1","0","1","10",
"1000000US060750105001002","Block 1002, Block Group 1, Census Tract 105, San Francisco County, California","13","7","0","1","0","0","1","4",
"1000000US060750105001003","Block 1003, Block Group 1, Census Tract 105, San Francisco County, California","2","2","0","0","0","0","0","0",
"1000000US060750105001004","Block 1004, Block Group 1, Census Tract 105, San Francisco County, California","3","0","0","0","0","3","0","0",
"1000000US060750105001005","Block 1005, Block Group 1, Census Tract 105, San Francisco County, California","5","4","0","0","0","0","1","0",
"1000000US060750105001006","Block 1006, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105001007","Block 1007, Block Group 1, Census Tract 105, San Francisco County, California","7","3","0","0","0","1","1","2",
"1000000US060750105001008","Block 1008, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105001009","Block 1009, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105001010","Block 1010, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105001011","Block 1011, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105001012","Block 1012, Block Group 1, Census Tract 105, San Francisco County, California","242","22","6","0","200","0","6","8",
"1000000US060750105001013","Block 1013, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105001014","Block 1014, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105001015","Block 1015, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105001016","Block 1016, Block Group 1, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105001017","Block 1017, Block Group 1, Census Tract 105, San Francisco County, California","145","100","0","0","33","0","2","10",
"1000000US060750105001018","Block 1018, Block Group 1, Census Tract 105, San Francisco County, California","234","35","17","1","145","0","22","14",
"1000000US060750105001019","Block 1019, Block Group 1, Census Tract 105, San Francisco County, California","21","0","2","0","8","1","0","10",
"1000000US060750105001020","Block 1020, Block Group 1, Census Tract 105, San Francisco County, California","325","221","1","0","64","0","6","33",
"1000000US060750105001021","Block 1021, Block Group 1, Census Tract 105, San Francisco County, California","248","190","0","1","43","1","2","11",
"1000000US060750105002000","Block 2000, Block Group 2, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105002001","Block 2001, Block Group 2, Census Tract 105, San Francisco County, California","37","4","5","3","4","1","5","15",
"1000000US060750105002002","Block 2002, Block Group 2, Census Tract 105, San Francisco County, California","2","0","0","0","0","2","0","0",
"1000000US060750105002003","Block 2003, Block Group 2, Census Tract 105, San Francisco County, California","112","80","0","0","27","0","0","5",
"1000000US060750105002004","Block 2004, Block Group 2, Census Tract 105, San Francisco County, California","74","46","0","0","15","0","2","11",
"1000000US060750105002005","Block 2005, Block Group 2, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105002006","Block 2006, Block Group 2, Census Tract 105, San Francisco County, California","44","25","1","0","9","0","4","5",
"1000000US060750105002007","Block 2007, Block Group 2, Census Tract 105, San Francisco County, California","541","298","16","2","193","0","7","25",
"1000000US060750105002008","Block 2008, Block Group 2, Census Tract 105, San Francisco County, California","7","0","0","1","5","0","0","1",
"1000000US060750105002009","Block 2009, Block Group 2, Census Tract 105, San Francisco County, California","7","1","4","0","0","0","2","0",
"1000000US060750105002010","Block 2010, Block Group 2, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105002011","Block 2011, Block Group 2, Census Tract 105, San Francisco County, California","15","9","6","0","0","0","0","0",
"1000000US060750105002012","Block 2012, Block Group 2, Census Tract 105, San Francisco County, California","9","2","7","0","0","0","0","0",
"1000000US060750105002013","Block 2013, Block Group 2, Census Tract 105, San Francisco County, California","0","0","0","0","0","0","0","0",
"1000000US060750105002014","Block 2014, Block Group 2, Census Tract 105, San Francisco County, California","17","0","5","0","8","0","0","4",
"1000000US060750105003000","Block 3000, Block Group 3, Census Tract 105, San Francisco County, California","1104","524","25","0","449","0","34","72",
"1000000US060750106001000","Block 1000, Block Group 1, Census Tract 106, San Francisco County, California","112","83","8","0","10","0","5","6",
"1000000US060750106001001","Block 1001, Block Group 1, Census Tract 106, San Francisco County, California","98","50","2","0","33","0","4","9",
"1000000US060750106001002","Block 1002, Block Group 1, Census Tract 106, San Francisco County, California","210","103","2","2","79","0","3","21",
"1000000US060750106001003","Block 1003, Block Group 1, Census Tract 106, San Francisco County, California","186","71","3","0","102","0","4","6",
"1000000US060750106001004","Block 1004, Block Group 1, Census Tract 106, San Francisco County, California","144","48","0","0","81","1","7","7",
"1000000US060750106001005","Block 1005, Block Group 1, Census Tract 106, San Francisco County, California","101","39","0","0","45","0","3","14",
"1000000US060750106001006","Block 1006, Block Group 1, Census Tract 106, San Francisco County, California","361","183","5","0","140","0","4","29",
"1000000US060750106002000","Block 2000, Block Group 2, Census Tract 106, San Francisco County, California","72","42","3","0","19","0","4","4",
"1000000US060750106002001","Block 2001, Block Group 2, Census Tract 106, San Francisco County, California","96","35","1","0","51","0","1","8",
"1000000US060750106002002","Block 2002, Block Group 2, Census Tract 106, San Francisco County, California","361","170","13","0","129","0","21","28",
"1000000US060750106002003","Block 2003, Block Group 2, Census Tract 106, San Francisco County, California","71","25","5","3","30","0","3","5",
"1000000US060750106002004","Block 2004, Block Group 2, Census Tract 106, San Francisco County, California","164","34","5","0","114","0","0","11",
"1000000US060750106002005","Block 2005, Block Group 2, Census Tract 106, San Francisco County, California","117","16","0","0","69","0","25","7",
"1000000US060750106002006","Block 2006, Block Group 2, Census Tract 106, San Francisco County, California","174","34","0","0","137","0","1","2",
