"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1000000US060750105002004","Block 2004, Block Group 2, Census Tract 105, San Francisco County, California","74",
"1000000US060750105002005","Block 2005, Block Group 2, Census Tract 105, San Francisco County, California","0",
"1000000US060750105002006","Block 2006, Block Group 2, Census Tract 105, San Francisco County, California","44",
"1000000US060750105002007","Block 2007, Block Group 2, Census Tract 105, San Francisco County, California","541",
"1000000US060750105002008","Block 2008, Block Group 2, Census Tract 105, San Francisco County, California","7",
"1000000US060750105002009","Block 2009, Block Group 2, Census Tract 105, San Francisco County, California","7",
"1000000US060750105002010","Block 2010, Block Group 2, Census Tract 105, San Francisco County, California","0",
"1000000US060750105002011","Block 2011, Block Group 2, Census Tract 105, San Francisco County, California","15",
"1000000US060750105002012","Block 2012, Block Group 2, Census Tract 105, San Francisco County, California","9",
"1000000US060750105002013","Block 2013, Block Group 2, Census Tract 105, San Francisco County, California","0",
"1000000US060750105002014","Block 2014, Block Group 2, Census Tract 105, San Francisco County, California","17",
"1000000US060750105003000","Block 3000, Block Group 3, Census Tract 105, San Francisco County, California","1104",
"1000000US060750106001000","Block 1000, Block Group 1, Census Tract 106, San Francisco County, California","112",
"1000000US060750106001001","Block 1001, Block Group 1, Census Tract 106, San Francisco County, California","98",
"1000000US060750106001002","Block 1002, Block Group 1, Census Tract 106, San Francisco County, California","210",
"1000000US060750106001003","Block 1003, Block Group 1, Census Tract 106, San Francisco County, California","186",
"1000000US060750106001004","Block 1004, Block Group 1, Census Tract 106, San Francisco County, California","144",
"1000000US060750106001005","Block 1005, Block Group 1, Census Tract 106, San Francisco County, California","101",
"1000000US060750106001006","Block 1006, Block Group 1, Census Tract 106, San Francisco County, California","361",
"1000000US060750106002000","Block 2000, Block Group 2, Census Tract 106, San Francisco County, California","72",
"1000000US060750106002001","Block 2001, Block Group 2, Census Tract 106, San Francisco County, California","96",
"1000000US060750106002002","Block 2002, Block Group 2, Census Tract 106, San Francisco County, California","361",
"1000000US060750106002003","Block 2003, Block Group 2, Census Tract 106, San Francisco County, California","71",
"1000000US060750106002004","Block 2004, Block Group 2, Census Tract 106, San Francisco County, California","164",
"1000000US060750106002005","Block 2005, Block Group 2, Census Tract 106, San Francisco County, California","117",
"1000000US060750106002006","Block 2006, Block Group 2, Census Tract 106, San Francisco County, California","174",
"1000000US060750106002007","Block 2007, Block Group 2, Census Tract 106, San Francisco County, California","173",
"1000000US060750106002008","Block 2008, Block Group 2, Census Tract 106, San Francisco County, California","0",
"1000000US060750106003000","Block 3000, Block Group 3, Census Tract 106, San Francisco County, California","211",
"1000000US060750106003001","Block 3001, Block Group 3, Census Tract 106, San Francisco County, California","150",
"1000000US060750106003002","Block 3002, Block Group 3, Census Tract 106, San Francisco County, California","19",
"1000000US060750106003003","Block 3003, Block Group 3, Census Tract 106, San Francisco County, California","91",
"1000000US060750106003004","Block 3004, Block Group 3, Census Tract 106, San Francisco County, California","136",
"1000000US060750106003005","Block 3005, Block Group 3, Census Tract 106, San Francisco County, California","201",
"1000000US060750106003006","Block 3006, Block Group 3, Census Tract 106, San Francisco County, California","78",
"1000000US060750106003007","Block 3007, Block Group 3, Census Tract 106, San Francisco County, California","128",
"1000000US060750106003008","Block 3008, Block Group 3, Census Tract 106, San Francisco County, California","49",
"1000000US060750106003009","Block 3009, Block Group 3, Census Tract 106, San Francisco County, California","48",
"1000000US060750106003010","Block 3010, Block Group 3, Census Tract 106, San Francisco County, California","167",
"1000000US060750107011000","Block 1000, Block Group 1, Census Tract 107.01, San Francisco County, California","47",
"1000000US060750107011001","Block 1001, Block Group 1, Census Tract 107.01, San Francisco County, California","421",
"1000000US060750107011002","Block 1002, Block Group 1, Census Tract 107.01, San Francisco County, California","569",
"1000000US060750107011003","Block 1003, Block Group 1, Census Tract 107.01, San Francisco County, California","102",
"1000000US060750107011004","Block 1004, Block Group 1, Census Tract 107.01, San Francisco County, California","391",
"1000000US060750107011005","Block 1005, Block Group 1, Census Tract 107.01, San Francisco County, California","0",
"1000000US060750107011006","Block 1006, Block Group 1, Census Tract 107.01, San Francisco County, California","230",
"1000000US060750107012000","Block 2000, Block Group 2, Census Tract 107.01, San Francisco County, California","723",
"1000000US060750107012001","Block 2001, Block Group 2, Census Tract 107.01, San Francisco County, California","598",
"1000000US060750107012002","Block 2002, Block Group 2, Census Tract 107.01, San Francisco County, California","249",
"1000000US060750107012003","Block 2003, Block Group 2, Census Tract 107.01, San Francisco County, California","391",
"1000000US060750107021000","Block 1000, Block Group 1, Census Tract 107.02, San Francisco County, California","73",
"1000000US060750107021001","Block 1001, Block Group 1, Census Tract 107.02, San Francisco County, California","75",
"1000000US060750107021002","Block 1002, Block Group 1, Census Tract 107.02, San Francisco County, California","221",
"1000000US060750107021003","Block 1003, Block Group 1, Census Tract 107.02, San Francisco County, California","0",
"1000000US060750107021004","Block 1004, Block Group 1, Census Tract 107.02, San Francisco County, California","168",
"1000000US060750107021005","Block 1005, Block Group 1, Census Tract 107.02, San Francisco County, California","141",
"1000000US060750107021006","Block 1006, Block Group 1, Census Tract 107.02, San Francisco County, California","173",
"1000000US060750107022000","Block 2000, Block Group 2, Census Tract 107.02, San Francisco County, California","26",
"1000000US060750107022001","Block 2001, Block Group 2, Census Tract 107.02, San Francisco County, California","339",
"1000000US060750107022002","Block 2002, Block Group 2, Census Tract 107.02, San Francisco County, California","410",
"1000000US060750108001000","Block 1000, Block Group 1, Census Tract 108, San Francisco County, California","189",
"1000000US060750108001001","Block 1001, Block Group 1, Census Tract 108, San Francisco County, California","288",
"1000000US060750108001002","Block 1002, Block Group 1, Census Tract 108, San Francisco County, California","112",
"1000000US060750108001003","Block 1003, Block Group 1, Census Tract 108, San Francisco County, California","45",
"1000000US060750108001004","Block 1004, Block Group 1, Census Tract 108, San Francisco County, California","338",
"1000000US060750108001005","Block 1005, Block Group 1, Census Tract 108, San Francisco County, California","27",
"1000000US060750108001006","Block 1006, Block Group 1, Census Tract 108, San Francisco County, California","121",
"1000000US060750108001007","Block 1007, Block Group 1, Census Tract 108, San Francisco County, California","161",
"1000000US060750108002000","Block 2000, Block Group 2, Census Tract 108, San Francisco County, California","355",
"1000000US060750108002001","Block 2001, Block Group 2, Census Tract 108, San Francisco County, California","155",
"1000000US060750108002002","Block 2002, Block Group 2, Census Tract 108, San Francisco County, California","161",
"1000000US060750108002003","Block 2003, Block Group 2, Census Tract 108, San Francisco County, California","71",
"1000000US060750108002004","Block 2004, Block Group 2, Census Tract 108, San Francisco County, California","23",
"1000000US060750108002005","Block 2005, Block Group 2, Census Tract 108, San Francisco County, California","149",
"1000000US060750108002006","Block 2006, Block Group 2, Census Tract 108, San Francisco County, California","160",
"1000000US060750108002007","Block 2007, Block Group 2, Census Tract 108, San Francisco County, California","150",
"1000000US060750108002008","Block 2008, Block Group 2, Census Tract 108, San Francisco County, California","303",
"1000000US060750108003000","Block 3000, Block Group 3, Census Tract 108, San Francisco County, California","201",
"1000000US060750108003001","Block 3001, Block Group 3, Census Tract 108, San Francisco County, California","238",
"1000000US060750108003002","Block 3002, Block Group 3, Census Tract 108, San Francisco County, California","342",
"1000000US060750108003003","Block 3003, Block Group 3, Census Tract 108, San Francisco County, California","51",
"1000000US060750108003004","Block 3004, Block Group 3, Census Tract 108, San Francisco County, California","30",
"1000000US060750108003005","Block 3005, Block Group 3, Census Tract 108, San Francisco County, California","189",
"1000000US060750108003006","Block 3006, Block Group 3, Census Tract 108, San Francisco County, California","185",
"1000000US060750108003007","Block 3007, Block Group 3, Census Tract 108, San Francisco County, California","148",
"1000000US060750108003008","Block 3008, Block Group 3, Census Tract 108, San Francisco County, California","381",
"1000000US060750109011000","Block 1000, Block Group 1, Census Tract 109.01, San Francisco County, California","247",
"1000000US060750109011001","Block 1001, Block Group 1, Census Tract 109.01, San Francisco County, California","264",
"1000000US060750109011002","Block 1002, Block Group 1, Census Tract 109.01, San Francisco County, California","51",
"1000000US060750109011003","Block 1003, Block Group 1, Census Tract 109.01, San Francisco County, California","214",
"1000000US060750109011004","Block 1004, Block Group 1, Census Tract 109.01, San Francisco County, California","75",
"1000000US060750109011005","Block 1005, Block Group 1, Census Tract 109.01, San Francisco County, California","54",
"1000000US060750109011006","Block 1006, Block Group 1, Census Tract 109.01, San Francisco County, California","86",
