"GEOID","AFFGEOID","tree_cover_percentage"
"060750329014","1500000US060750329014",0.372723294899391
"060750479032","1500000US060750479032",0.396758486136414
"060750452012","1500000US060750452012",5.42527918832375
"060750170002","1500000US060750170002",9.65869047109598
"060750229031","1500000US060750229031",3.21151514854322
"060750476004","1500000US060750476004",5.69531622918157
"060750351021","1500000US060750351021",0.79823018033685
"060750228033","1500000US060750228033",2.49635044062466
"060750128022","1500000US060750128022",6.47028262130462
"060750326022","1500000US060750326022",1.7533855932499
"060750615012","1500000US060750615012",1.40842262587943
"060750615013","1500000US060750615013",0.0500820379910253
"060750479042","1500000US060750479042",0.49802840982753
"060750351013","1500000US060750351013",0.539489853134578
"060750615032","1500000US060750615032",1.21810216533322
"060750260013","1500000US060750260013",3.57521979842395
"060750125033","1500000US060750125033",0.344789457270684
"060750178042","1500000US060750178042",0.706550256541812
"060750330012","1500000US060750330012",0.551453877700698
"060750301023","1500000US060750301023",36.9530578815925
"060750255022","1500000US060750255022",3.26340503502239
"060750154012","1500000US060750154012",6.26980549959354
"060750615071","1500000US060750615071",2.46420039194884
"060750131013","1500000US060750131013",1.60441529274726
"060750104011","1500000US060750104011",0.565101800324354
"060750121003","1500000US060750121003",0.872285431114414
"060750119023","1500000US060750119023",1.94658424932098
"060750124062","1500000US060750124062",0.256304901529479
"060750134021","1500000US060750134021",8.36852908893557
"060750128021","1500000US060750128021",2.20172081304085
"060750202022","1500000US060750202022",3.23380410201928
"060750207012","1500000US060750207012",4.76146506754749
"060750262022","1500000US060750262022",1.65921984204941
"060750152022","1500000US060750152022",3.32262030838142
"060750226001","1500000US060750226001",1.16151648116372
"060750152012","1500000US060750152012",0.767107169021612
"060750207013","1500000US060750207013",6.09629305364327
"060750107021","1500000US060750107021",0.704440447372238
"060750101012","1500000US060750101012",2.75648318446878
"060750112003","1500000US060750112003",3.32946439465942
"060750314021","1500000US060750314021",3.62632573614787
"060750213002","1500000US060750213002",11.1931481832688
"060750254011","1500000US060750254011",6.18685974706524
"060750306002","1500000US060750306002",8.2923916181167
"060750332041","1500000US060750332041",5.12391186176129
"060750208012","1500000US060750208012",1.97230363590414
"060750607033","1500000US060750607033",1.11223941532049
"060750260011","1500000US060750260011",1.75753476390061
"060759802001","1500000US060759802001",18.6368415072865
"060750102012","1500000US060750102012",1.31348317594013
"060750111021","1500000US060750111021",1.06076357623699
"060750127003","1500000US060750127003",5.13328224575283
"060750308003","1500000US060750308003",14.4080160567706
"060750161012","1500000US060750161012",3.8835918287262
"060750215002","1500000US060750215002",5.09125177937797
